title,status,source,destination
A systematical association analysis of 25 common virus infection and genetic susceptibility of COVID-19 infection,no_pdf_attachment_in_zotero_db,,
Association between household size and COVID-19: A UK Biobank observational study,moved,C:\Users\Kingwu\Zotero\storage\MVPSDNEU\Gillies 等 - 2022 - Association between household size and COVID-19 A UK Biobank observational study.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Association between household size and COVID-19 A UK Biobank observational study.pdf
Association between use of systemic and inhaled glucocorticoids and changes in brain volume and white matter microstructure: a cross-sectional study using data from the UK Biobank,moved,C:\Users\Kingwu\Zotero\storage\YCB65K2A\Van Der Meulen 等 - 2022 - Association between use of systemic and inhaled glucocorticoids and changes in brain volume and whit.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Association between use of systemic and inhaled glucocorticoids and changes in brain volume and white matter microstructure a cross-sectional study using data from the UK Biobank.pdf
Association of accelerated biological aging and frailty with the risk of severe infection: a prospective study in the UK Biobank,no_pdf_attachment_in_zotero_db,,
Baseline cardiometabolic profiles and SARS-CoV-2 infection in the UK Biobank,moved,C:\Users\Kingwu\Zotero\storage\6KCRCSYJ\Scalsky 等 - 2021 - Baseline cardiometabolic profiles and SARS-CoV-2 infection in the UK Biobank.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Baseline cardiometabolic profiles and SARS-CoV-2 infection in the UK Biobank.pdf
Circulating Polyunsaturated Fatty Acids and COVID-19: A Prospective Cohort Study and Mendelian Randomization Analysis,moved,C:\Users\Kingwu\Zotero\storage\G3BN6JXA\Sun 等 - 2022 - Circulating Polyunsaturated Fatty Acids and COVID-19 A Prospective Cohort Study and Mendelian Rando.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Circulating Polyunsaturated Fatty Acids and COVID-19 A Prospective Cohort Study and Mendelian Randomization Analysis.pdf
Diet and Respiratory Infections: Specific or Generalized Associations?,moved,C:\Users\Kingwu\Zotero\storage\TN3VFI74\Vu 等 - 2022 - Diet and Respiratory Infections Specific or Generalized Associations.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Diet and Respiratory Infections Specific or Generalized Associations.pdf
Genetic Risk and Chronic Obstructive Pulmonary Disease Independently Predict the Risk of Incident Severe COVID-19,no_pdf_attachment_in_zotero_db,,
Genome-wide association study of chronic sputum production implicates loci involved in mucus production and infection,moved,C:\Users\Kingwu\Zotero\storage\T9HYR2MF\Packer 等 - 2023 - Genome-wide association study of chronic sputum production implicates loci involved in mucus product.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Genome-wide association study of chronic sputum production implicates loci involved in mucus production and infection.pdf
Genome-wide association study of susceptibility to hospitalised respiratory infections,no_pdf_attachment_in_zotero_db,,
"Impact of Allergic Rhinitis and Asthma on COVID-19 Infection, Hospitalization, and Mortality",moved,"C:\Users\Kingwu\Zotero\storage\KZN3LCXW\Ren 等 - 2022 - Impact of Allergic Rhinitis and Asthma on COVID-19 Infection, Hospitalization, and Mortality.pdf","C:\Users\Kingwu\Desktop\notebook\note\COPD\Impact of Allergic Rhinitis and Asthma on COVID-19 Infection, Hospitalization, and Mortality.pdf"
Is asthma associated with COVID-19 infection? A UK Biobank analysis,moved,C:\Users\Kingwu\Zotero\storage\7H2FCL4C\Lodge 等 - 2021 - Is asthma associated with COVID-19 infection A UK Biobank analysis.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Is asthma associated with COVID-19 infection A UK Biobank analysis.pdf
"Long-term post-acute sequelae of COVID-19 infection: a retrospective, multi-database cohort study in Hong Kong and the UK",moved,"C:\Users\Kingwu\Zotero\storage\9VIUPEGS\Lam 等 - 2023 - Long-term post-acute sequelae of COVID-19 infection a retrospective, multi-database cohort study in.pdf","C:\Users\Kingwu\Desktop\notebook\note\COPD\Long-term post-acute sequelae of COVID-19 infection a retrospective, multi-database cohort study in Hong Kong and the UK.pdf"
"Long-term risks of respiratory diseases in patients infected with SARS-CoV-2: a longitudinal, population-based cohort study",moved,"C:\Users\Kingwu\Zotero\storage\JCRP8NJ4\Meng 等 - 2024 - Long-term risks of respiratory diseases in patients infected with SARS-CoV-2 a longitudinal, popula.pdf","C:\Users\Kingwu\Desktop\notebook\note\COPD\Long-term risks of respiratory diseases in patients infected with SARS-CoV-2 a longitudinal, population-based cohort study.pdf"
Patterns of multimorbidity and risk of severe SARS-CoV-2 infection: an observational study in the U.K.,moved,C:\Users\Kingwu\Zotero\storage\AL7PT7IE\Chudasama 等 - 2021 - Patterns of multimorbidity and risk of severe SARS-CoV-2 infection an observational study in the U..pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Patterns of multimorbidity and risk of severe SARS-CoV-2 infection an observational study in the U.K..pdf
Respiratory viral infections awaken metastatic breast cancer cells in lungs,moved,C:\Users\Kingwu\Zotero\storage\K259567G\Chia 等 - 2025 - Respiratory viral infections awaken metastatic breast cancer cells in lungs.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Respiratory viral infections awaken metastatic breast cancer cells in lungs.pdf
Risk of lower respiratory tract infections: a genome-wide association study with Mendelian randomization analysis in three independent European populations,moved,C:\Users\Kingwu\Zotero\storage\6RKIC4UX\Flatby 等 - 2022 - Risk of lower respiratory tract infections a genome-wide association study with Mendelian randomiza.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Risk of lower respiratory tract infections a genome-wide association study with Mendelian randomization analysis in three independent European populations.pdf
SARS-CoV-2 infection in alpha1-antitrypsin deficiency,moved,C:\Users\Kingwu\Zotero\storage\HS5A4DTV\Schneider和Strnad - 2021 - SARS-CoV-2 infection in alpha1-antitrypsin deficiency.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\SARS-CoV-2 infection in alpha1-antitrypsin deficiency.pdf
"Sociodemographic factors, biomarkers and comorbidities associated with post-acute COVID-19 sequelae in UK Biobank",moved,"C:\Users\Kingwu\Zotero\storage\5TGUK6PQ\Alcalde-Herraiz 等 - 2025 - Sociodemographic factors, biomarkers and comorbidities associated with post-acute COVID-19 sequelae.pdf","C:\Users\Kingwu\Desktop\notebook\note\COPD\Sociodemographic factors, biomarkers and comorbidities associated with post-acute COVID-19 sequelae in UK Biobank.pdf"
Variation in ERAP2 has opposing effects on severe respiratory infection and autoimmune disease,moved,C:\Users\Kingwu\Zotero\storage\RPZSYC2E\Hamilton 等 - 2023 - Variation in ERAP2 has opposing effects on severe respiratory infection and autoimmune disease.pdf,C:\Users\Kingwu\Desktop\notebook\note\COPD\Variation in ERAP2 has opposing effects on severe respiratory infection and autoimmune disease.pdf
